date,temperature
2022-09-26T15:40:52+08:00,24.89
2022-09-26T15:40:57+08:00,27.23
2022-09-26T15:41:02+08:00,24.48
2022-09-26T15:41:07+08:00,22.03
2022-09-26T15:41:12+08:00,24.62
2022-09-26T15:41:17+08:00,22.7
2022-09-26T15:41:22+08:00,22.6
2022-09-26T15:41:27+08:00,28.69
2022-09-26T15:41:32+08:00,25.41
2022-09-26T15:41:38+08:00,21.4
2022-09-26T15:41:42+08:00,26.04
2022-09-26T15:41:47+08:00,27.27
2022-09-26T15:41:52+08:00,28.69
2022-09-26T15:41:58+08:00,27.87
2022-09-26T15:42:03+08:00,24.95
2022-09-26T15:42:08+08:00,27.55
2022-09-26T15:42:13+08:00,21.07
2022-09-26T15:42:18+08:00,21.7
2022-09-26T15:42:23+08:00,27.0
2022-09-26T15:42:28+08:00,24.0
2022-09-26T15:42:33+08:00,25.99
2022-09-26T15:42:38+08:00,22.33
2022-09-26T15:42:43+08:00,22.01
2022-09-26T15:42:48+08:00,29.47
2022-09-26T15:42:53+08:00,29.93
2022-09-26T15:42:58+08:00,28.96
2022-09-26T15:43:03+08:00,23.7
2022-09-26T15:43:08+08:00,21.93
2022-09-26T15:43:13+08:00,25.04
2022-09-26T15:43:18+08:00,25.61
2022-09-26T15:43:23+08:00,21.43
2022-09-26T15:43:28+08:00,24.54
2022-09-26T15:43:33+08:00,28.08
2022-09-26T15:43:38+08:00,27.72
2022-09-26T15:43:43+08:00,21.7
2022-09-26T15:43:48+08:00,29.56
2022-09-26T15:43:53+08:00,29.47
2022-09-26T15:43:58+08:00,22.78
2022-09-26T15:44:03+08:00,20.51
2022-09-26T15:44:08+08:00,23.47
2022-09-26T15:44:13+08:00,23.76
2022-09-26T15:44:18+08:00,23.06
2022-09-26T15:44:23+08:00,20.54
2022-09-26T15:44:28+08:00,26.76
2022-09-26T15:44:33+08:00,27.15
2022-09-26T15:44:39+08:00,28.71
2022-09-26T15:44:44+08:00,24.14
2022-09-26T15:44:49+08:00,27.85
2022-09-26T15:44:54+08:00,22.87
2022-09-26T15:44:59+08:00,26.32
2022-09-26T15:45:04+08:00,23.08
2022-09-26T15:45:09+08:00,27.59
2022-09-26T15:45:14+08:00,28.84
2022-09-26T15:45:19+08:00,29.0
2022-09-26T15:45:24+08:00,23.21
2022-09-26T15:45:29+08:00,26.7
2022-09-26T15:45:34+08:00,20.87
2022-09-26T15:45:39+08:00,26.91
